"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","total_type","school_phase","estimated_course_starts_by_pupils","total_schools","total_schools_participating","percentage_schools_participating"
202223,2023,"January","National","E92000001","England","","","","","","Total since start of NTP","All",3365598,"-","-","-"
202021,2021,"August","National","E92000001","England","","","","","","Total in academic year","All",310717,"-","-","-"
202122,2022,"August","National","E92000001","England","","","","","","Total in academic year","All",2215386,"-","-","-"
202223,2023,"January","National","E92000001","England","","","","","","Total in academic year","All",839495,"21620","14215","65.7"
202223,2023,"January","National","E92000001","England","","","","","","Total in academic year","Primary",497189,"16783","10993","65.5"
202223,2023,"January","National","E92000001","England","","","","","","Total in academic year","Secondary",315620,"3410","2561","75.1"
202223,2023,"January","National","E92000001","England","","","","","","Total in academic year","Other",26686,"1427","661","46.3"
202223,2023,"January","Regional","E92000001","England","E12000004","East Midlands","","","","Total in academic year","All",71539,"2050","1327","64.7"
202223,2023,"January","Regional","E92000001","England","E12000006","East of England","","","","Total in academic year","All",86270,"2531","1624","64.2"
202223,2023,"January","Regional","E92000001","England","E12000007","London","","","","Total in academic year","All",138610,"2514","1830","72.8"
202223,2023,"January","Regional","E92000001","England","E12000001","North East","","","","Total in academic year","All",49620,"1118","696","62.3"
202223,2023,"January","Regional","E92000001","England","E12000002","North West","","","","Total in academic year","All",131164,"3131","2103","67.2"
202223,2023,"January","Regional","E92000001","England","E12000008","South East","","","","Total in academic year","All",103839,"3346","2119","63.3"
202223,2023,"January","Regional","E92000001","England","E12000009","South West","","","","Total in academic year","All",66671,"2353","1498","63.7"
202223,2023,"January","Regional","E92000001","England","E12000005","West Midlands","","","","Total in academic year","All",98583,"2361","1563","66.2"
202223,2023,"January","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total in academic year","All",93199,"2216","1455","65.7"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","831","E06000015","Derby","Total in academic year","All",5563,"99","62","62.6"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","830","E10000007","Derbyshire","Total in academic year","All",11520,"412","275","66.7"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","856","E06000016","Leicester","Total in academic year","All",8152,"113","92","81.4"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","855","E10000018","Leicestershire","Total in academic year","All",8095,"282","172","61"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","925","E10000019","Lincolnshire","Total in academic year","All",9196,"357","213","59.7"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","940","E06000061","North Northamptonshire","Total in academic year","All",4473,"139","90","64.7"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","892","E06000018","Nottingham","Total in academic year","All",7065,"105","78","74.3"
202223,2023,"January","Local authority","E92000001","England","E12000004","East Midlands","891","E10000024","Nottinghamshire","Total in academic year","All",12023,"341","225","66"
