"academic_year","time_identifier","time_period","geographic_level","country_name","country_code","region_name","region_code","school_phase","characteristic_group","characteristic","number_of_pupils","denominator","percent_of_pupils"
202223,"October",2022,"National","England","E92000001","","","All","Total","Total",353507,353507,100
202223,"October",2022,"National","England","E92000001","","","Primary","Total","Total",213060,213060,100
202223,"October",2022,"National","England","E92000001","","","Secondary","Total","Total",125588,125588,100
202223,"October",2022,"National","England","E92000001","","","Other","Total","Total",14859,14859,100
202223,"October",2022,"National","England","E92000001","","","All","Free School Meals Status","Known to be eligible for free school meals within the last 6 years",176034,353507,49.8
202223,"October",2022,"National","England","E92000001","","","All","Free School Meals Status","Not known to be eligible for free school meals within the last 6 years",177473,353507,50.2
202223,"October",2022,"National","England","E92000001","","","All","Special Educational Needs Status","Known to have special educational needs",100061,353507,28.3
202223,"October",2022,"National","England","E92000001","","","All","Special Educational Needs Status","Not known to have special educational needs",253447,353507,71.7
202223,"October",2022,"National","England","E92000001","","","All","Ethnicity Major","Asian",36674,353507,10.4
202223,"October",2022,"National","England","E92000001","","","All","Ethnicity Major","Black",28497,353507,8.1
202223,"October",2022,"National","England","E92000001","","","All","Ethnicity Major","Mixed background",25574,353507,7.2
202223,"October",2022,"National","England","E92000001","","","All","Ethnicity Major","Unknown",5399,353507,1.5
202223,"October",2022,"National","England","E92000001","","","All","Ethnicity Major","White",247391,353507,70
202223,"October",2022,"National","England","E92000001","","","All","Ethnicity Major","Other ethnic group",9972,353507,2.8
202223,"October",2022,"National","England","E92000001","","","All","Gender","Male",185559,353507,52.5
202223,"October",2022,"National","England","E92000001","","","All","Gender","Female",167948,353507,47.5
202223,"October",2022,"National","England","E92000001","","","Primary","Free School Meals Status","Known to be eligible for free school meals within the last 6 years",107098,213060,50.3
202223,"October",2022,"National","England","E92000001","","","Primary","Free School Meals Status","Not known to be eligible for free school meals within the last 6 years",105962,213060,49.7
202223,"October",2022,"National","England","E92000001","","","Primary","Special Educational Needs Status","Known to have special educational needs",54395,213060,25.5
202223,"October",2022,"National","England","E92000001","","","Primary","Special Educational Needs Status","Not known to have special educational needs",158665,213060,74.5
202223,"October",2022,"National","England","E92000001","","","Primary","Ethnicity Major","Asian",22324,213060,10.5
202223,"October",2022,"National","England","E92000001","","","Primary","Ethnicity Major","Black",16499,213060,7.7
202223,"October",2022,"National","England","E92000001","","","Primary","Ethnicity Major","Mixed background",15928,213060,7.5
202223,"October",2022,"National","England","E92000001","","","Primary","Ethnicity Major","Unknown",2573,213060,1.2
202223,"October",2022,"National","England","E92000001","","","Primary","Ethnicity Major","White",149274,213060,70.1
202223,"October",2022,"National","England","E92000001","","","Primary","Ethnicity Major","Other ethnic group",6463,213060,3
202223,"October",2022,"National","England","E92000001","","","Primary","Gender","Male",109089,213060,51.2
202223,"October",2022,"National","England","E92000001","","","Primary","Gender","Female",103971,213060,48.8
202223,"October",2022,"National","England","E92000001","","","Secondary","Free School Meals Status","Known to be eligible for free school meals within the last 6 years",59359,125588,47.3
202223,"October",2022,"National","England","E92000001","","","Secondary","Free School Meals Status","Not known to be eligible for free school meals within the last 6 years",66229,125588,52.7
202223,"October",2022,"National","England","E92000001","","","Secondary","Special Educational Needs Status","Known to have special educational needs",31184,125588,24.8
202223,"October",2022,"National","England","E92000001","","","Secondary","Special Educational Needs Status","Not known to have special educational needs",94404,125588,75.2
202223,"October",2022,"National","England","E92000001","","","Secondary","Ethnicity Major","Asian",12921,125588,10.3
202223,"October",2022,"National","England","E92000001","","","Secondary","Ethnicity Major","Black",10532,125588,8.4
202223,"October",2022,"National","England","E92000001","","","Secondary","Ethnicity Major","Mixed background",8505,125588,6.8
202223,"October",2022,"National","England","E92000001","","","Secondary","Ethnicity Major","Unknown",2512,125588,2
202223,"October",2022,"National","England","E92000001","","","Secondary","Ethnicity Major","White",87969,125588,70
202223,"October",2022,"National","England","E92000001","","","Secondary","Ethnicity Major","Other ethnic group",3149,125588,2.5
202223,"October",2022,"National","England","E92000001","","","Secondary","Gender","Male",65708,125588,52.3
202223,"October",2022,"National","England","E92000001","","","Secondary","Gender","Female",59879,125588,47.7
202223,"October",2022,"National","England","E92000001","","","Other","Free School Meals Status","Known to be eligible for free school meals within the last 6 years",9577,14859,64.5
202223,"October",2022,"National","England","E92000001","","","Other","Free School Meals Status","Not known to be eligible for free school meals within the last 6 years",5282,14859,35.5
202223,"October",2022,"National","England","E92000001","","","Other","Special Educational Needs Status","Known to have special educational needs",14481,14859,97.5
202223,"October",2022,"National","England","E92000001","","","Other","Special Educational Needs Status","Not known to have special educational needs",378,14859,2.5
202223,"October",2022,"National","England","E92000001","","","Other","Ethnicity Major","Asian",1429,14859,9.6
202223,"October",2022,"National","England","E92000001","","","Other","Ethnicity Major","Black",1466,14859,9.9
202223,"October",2022,"National","England","E92000001","","","Other","Ethnicity Major","Mixed background",1142,14859,7.7
202223,"October",2022,"National","England","E92000001","","","Other","Ethnicity Major","Unknown",313,14859,2.1
202223,"October",2022,"National","England","E92000001","","","Other","Ethnicity Major","White",10148,14859,68.3
202223,"October",2022,"National","England","E92000001","","","Other","Ethnicity Major","Other ethnic group",360,14859,2.4
202223,"October",2022,"National","England","E92000001","","","Other","Gender","Male",10761,14859,72.4
202223,"October",2022,"National","England","E92000001","","","Other","Gender","Female",4098,14859,27.6
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Total","Total",65303,65303,100
202223,"October",2022,"Regional","England","E92000001","South East","E12000008","All","Total","Total",43065,43065,100
202223,"October",2022,"Regional","England","E92000001","Yorkshire and The Humber","E12000003","All","Total","Total",38819,38819,100
202223,"October",2022,"Regional","England","E92000001","West Midlands","E12000005","All","Total","Total",39341,39341,100
202223,"October",2022,"Regional","England","E92000001","North West","E12000002","All","Total","Total",53798,53798,100
202223,"October",2022,"Regional","England","E92000001","North East","E12000001","All","Total","Total",19348,19348,100
202223,"October",2022,"Regional","England","E92000001","South West","E12000009","All","Total","Total",27104,27104,100
202223,"October",2022,"Regional","England","E92000001","East of England","E12000006","All","Total","Total",37945,37945,100
202223,"October",2022,"Regional","England","E92000001","East Midlands","E12000004","All","Total","Total",28783,28783,100
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Free School Meals Status","Known to be eligible for free school meals within the last 6 years",35599,65303,54.5
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Free School Meals Status","Not known to be eligible for free school meals within the last 6 years",29704,65303,45.5
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Special Educational Needs Status","Known to have special educational needs",18599,65303,28.5
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Special Educational Needs Status","Not known to have special educational needs",46704,65303,71.5
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Ethnicity Major","Asian",11519,65303,17.6
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Ethnicity Major","Black",16819,65303,25.8
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Ethnicity Major","Mixed background",8240,65303,12.6
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Ethnicity Major","Unknown",1357,65303,2.1
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Ethnicity Major","White",22584,65303,34.6
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Ethnicity Major","Other ethnic group",4783,65303,7.3
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Gender","Male",34763,65303,53.2
202223,"October",2022,"Regional","England","E92000001","London","E12000007","All","Gender","Female",30539,65303,46.8
202223,"October",2022,"Regional","England","E92000001","South East","E12000008","All","Free School Meals Status","Known to be eligible for free school meals within the last 6 years",19794,43065,46
202223,"October",2022,"Regional","England","E92000001","South East","E12000008","All","Free School Meals Status","Not known to be eligible for free school meals within the last 6 years",23272,43065,54
202223,"October",2022,"Regional","England","E92000001","South East","E12000008","All","Special Educational Needs Status","Known to have special educational needs",12408,43065,28.8
202223,"October",2022,"Regional","England","E92000001","South East","E12000008","All","Special Educational Needs Status","Not known to have special educational needs",30658,43065,71.2
202223,"October",2022,"Regional","England","E92000001","South East","E12000008","All","Ethnicity Major","Asian",2808,43065,6.5
202223,"October",2022,"Regional","England","E92000001","South East","E12000008","All","Ethnicity Major","Black",1551,43065,3.6
202223,"October",2022,"Regional","England","E92000001","South East","E12000008","All","Ethnicity Major","Mixed background",2809,43065,6.5
